Unnamed: 0,QUOTE,CONSUMER_CREDIT_JUDGEMENTS_GUAR1,CONSUMER_CREDIT_INSOLVENCY_NOTICES_GUAR1,CONSUMER_CREDIT_CREDIT_DEFAULTS_GUAR1,CONSUMER_CREDIT_COMPANY_AFFILIATIONS_GUAR1,CONSUMER_CREDIT_FILE_ACTIVITY_GUAR1,CONSUMER_CREDIT_SCORE_GUAR1,CONSUMER_CREDIT_RISK_ODDS_GUAR1,CONSUMER_CREDIT_JUDGEMENTS_GUAR2,CONSUMER_CREDIT_INSOLVENCY_NOTICES_GUAR2,CONSUMER_CREDIT_CREDIT_DEFAULTS_GUAR2,CONSUMER_CREDIT_COMPANY_AFFILIATIONS_GUAR2,CONSUMER_CREDIT_FILE_ACTIVITY_GUAR2,CONSUMER_CREDIT_SCORE_GUAR2,CONSUMER_CREDIT_RISK_ODDS_GUAR2,CONSUMER_CREDIT_JUDGEMENTS_GUAR3,CONSUMER_CREDIT_INSOLVENCY_NOTICES_GUAR3,CONSUMER_CREDIT_CREDIT_DEFAULTS_GUAR3,CONSUMER_CREDIT_COMPANY_AFFILIATIONS_GUAR3,CONSUMER_CREDIT_FILE_ACTIVITY_GUAR3,CONSUMER_CREDIT_SCORE_GUAR3,CONSUMER_CREDIT_RISK_ODDS_GUAR3,COMMERCIAL_CREDIT_DIRECTORS,COMMERCIAL_CREDIT_JUDGEMENTS,COMMERCIAL_CREDIT_CREDIT_DEFAULTS,COMMERCIAL_CREDIT_INSOLVENCIES,COMMERCIAL_CREDIT_CREDIT_ACTIVITY,COMMERCIAL_CREDIT_PPSR,COMMERCIAL_CREDIT_NOTIFICATIONS,COMMERCIAL_CREDIT_PUBLIC_NOTICES,COMMERCIAL_CREDIT_SCORE,COMMERCIAL_CREDIT_CREDIT_LIMIT,COMMERCIAL_CREDIT_SUPPLIERS,COMMERCIAL_CREDIT_DSO_CURRENT,COMMERCIAL_CREDIT_DSO_ONE_MONTH,COMMERCIAL_CREDIT_DSO_TWO_MONTHS,DIRECTOR_PROPERTY_TYPE_D1,DIRECTOR_PROPERTY_RATEABLE_VALUE_D1,DIRECTOR_PROPERTY_IMPROVEMENTS_D1,DIRECTOR_PROPERTY_LAND_VALUE_D1,DIRECTOR_PROPERTY_TYPE_D2,DIRECTOR_PROPERTY_RATEABLE_VALUE_D2,DIRECTOR_PROPERTY_IMPROVEMENTS_D2,DIRECTOR_PROPERTY_LAND_VALUE_D2,DIRECTOR_PROPERTY_TYPE_D3,DIRECTOR_PROPERTY_RATEABLE_VALUE_D3,DIRECTOR_PROPERTY_IMPROVEMENTS_D3,DIRECTOR_PROPERTY_LAND_VALUE_D3,ORG_TYPE,INDUSTRY_CLASSIFICATION,PRIOR_FUNDTAP_HISTORY_COMPLETED_SUM,PRIOR_FUNDTAP_HISTORY_FUNDED_SUM,PRIOR_FUNDTAP_HISTORY_DUE_SUM,P_L_TOTAL_INCOME_CURRENT,P_L_GROSS_PROFIT_CURRENT,P_L_TOTAL_OTHER_INCOME_CURRENT,P_L_TOTAL_OPERATING_EXPENSES_CURRENT,P_L_NET_PROFIT_CURRENT,P_L_TOTAL_INCOME_YR1,P_L_GROSS_PROFIT_YR1,P_L_TOTAL_OTHER_INCOME_YR1,P_L_TOTAL_OPERATING_EXPENSES_YR1,P_L_NET_PROFIT_YR1,P_L_TOTAL_INCOME_YR2,P_L_GROSS_PROFIT_YR2,P_L_TOTAL_OTHER_INCOME_YR2,P_L_TOTAL_OPERATING_EXPENSES_YR2,P_L_NET_PROFIT_YR2,P_L_TOTAL_INCOME_YR3,P_L_GROSS_PROFIT_YR3,P_L_TOTAL_OTHER_INCOME_YR3,P_L_TOTAL_OPERATING_EXPENSES_YR3,P_L_NET_PROFIT_YR3,ACCOUNTS_PAYABLE_TOTAL_CURRENT_MONTH,ACCOUNTS_PAYABLE_TOTAL_ONE_MONTH_PAST,ACCOUNTS_PAYABLE_TOTAL_TWO_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_THREE_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_FOUR_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_FIVE_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_SIX_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_SEVEN_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_EIGHT_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_NINE_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_TEN_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_ELEVEN_MONTHS_PAST,ACCOUNTS_PAYABLE_TOTAL_TWELVE_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_CURRENT_MONTH,ACCOUNTS_RECEIVABLE_TOTAL_ONE_MONTH_PAST,ACCOUNTS_RECEIVABLE_TOTAL_TWO_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_THREE_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_FOUR_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_FIVE_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_SIX_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_SEVEN_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_EIGHT_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_NINE_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_TEN_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_ELEVEN_MONTHS_PAST,ACCOUNTS_RECEIVABLE_TOTAL_TWELVE_MONTHS_PAST,BANK_SUMMARY_TOTAL_SPENT_CURRENT,BANK_SUMMARY_TOTAL_RECEIVED_CURRENT,BANK_SUMMARY_TOTAL_SPENT_M1,BANK_SUMMARY_TOTAL_RECEIVED_M1,BANK_SUMMARY_TOTAL_SPENT_M2,BANK_SUMMARY_TOTAL_RECEIVED_M2,BANK_SUMMARY_TOTAL_SPENT_M3,BANK_SUMMARY_TOTAL_RECEIVED_M3,EXEC_SUMMARY_CASH_RECEIVED_CURRENT,EXEC_SUMMARY_CASH_SPENT_CURRENT,EXEC_SUMMARY_CASH_SURPLUS_DEFICIT_CURRENT,EXEC_SUMMARY_CLOSING_BANK_BALANCE_CURRENT,EXEC_SUMMARY_INCOME_CURRENT,EXEC_SUMMARY_DIRECT_COSTS_CURRENT,EXEC_SUMMARY_GROSS_PROFIT_LOSS_CURRENT,EXEC_SUMMARY_OTHER_INCOME_CURRENT,EXEC_SUMMARY_EXPENSES_CURRENT,EXEC_SUMMARY_PROFIT_LOSS_CURRENT,EXEC_SUMMARY_DEBTORS_CURRENT,EXEC_SUMMARY_CREDITORS_CURRENT,EXEC_SUMMARY_NET_ASSETS_CURRENT,EXEC_SUMMARY_NUMBER_OF_INVOICES_ISSUED_CURRENT,EXEC_SUMMARY_AVERAGE_VALUE_OF_INVOICES_CURRENT,EXEC_SUMMARY_GROSS_PROFIT_MARGIN_CURRENT,EXEC_SUMMARY_NET_PROFIT_MARGIN_CURRENT,EXEC_SUMMARY_RETURN_ON_INVESTMENT_CURRENT,EXEC_SUMMARY_AVERAGE_DEBTORS_DAYS_CURRENT,EXEC_SUMMARY_AVERAGE_CREDITORS_DAYS_CURRENT,EXEC_SUMMARY_SHORT_TERM_CASH_FORECAST_CURRENT,EXEC_SUMMARY_CURRENT_ASSETS_TO_LIABILITIES_CURRENT,EXEC_SUMMARY_TERM_ASSETS_TO_LIABILITIES_CURRENT,EXEC_SUMMARY_CASH_RECEIVED_M1,EXEC_SUMMARY_CASH_SPENT_M1,EXEC_SUMMARY_CASH_SURPLUS_DEFICIT_M1,EXEC_SUMMARY_CLOSING_BANK_BALANCE_M1,EXEC_SUMMARY_INCOME_M1,EXEC_SUMMARY_DIRECT_COSTS_M1,EXEC_SUMMARY_GROSS_PROFIT_LOSS_M1,EXEC_SUMMARY_OTHER_INCOME_M1,EXEC_SUMMARY_EXPENSES_M1,EXEC_SUMMARY_PROFIT_LOSS_M1,EXEC_SUMMARY_DEBTORS_M1,EXEC_SUMMARY_CREDITORS_M1,EXEC_SUMMARY_NET_ASSETS_M1,EXEC_SUMMARY_NUMBER_OF_INVOICES_ISSUED_M1,EXEC_SUMMARY_AVERAGE_VALUE_OF_INVOICES_M1,EXEC_SUMMARY_GROSS_PROFIT_MARGIN_M1,EXEC_SUMMARY_NET_PROFIT_MARGIN_M1,EXEC_SUMMARY_RETURN_ON_INVESTMENT_M1,EXEC_SUMMARY_AVERAGE_DEBTORS_DAYS_M1,EXEC_SUMMARY_AVERAGE_CREDITORS_DAYS_M1,EXEC_SUMMARY_SHORT_TERM_CASH_FORECAST_M1,EXEC_SUMMARY_CURRENT_ASSETS_TO_LIABILITIES_M1,EXEC_SUMMARY_TERM_ASSETS_TO_LIABILITIES_M1,FUNDTAP_LOAN_PRINCIPAL,LINE_OF_BUSINESS,CUSTOMER_TYPE,ACCOUNTING_SOFTWARE,CUSTOMER_UID,COMMERCIAL_CREDIT_REPORT_CREATION_DATE,CONSUMER_CREDIT_REPORT_FIRST_CREATION_DATE,CONSUMER_CREDIT_REPORT_SECOND_CREATION_DATE,CONSUMER_CREDIT_REPORT_THIRD_CREATION_DATE,BANK_STATEMENT_CREATION_DATE,XERO_REPORT_CREATION_DATE,FUNDTAP_PROFIT_LOSS,FUNDTAP_STATUS,COUNTRY,FUNDTAP_FEE,WEEKS_PAST_DUE,WEEKS_OVERDUE,WEEKS_IN_DEFAULT,PRIOR_FUNDTAP_HISTORY_PENDING_SUM,TOTAL_BANK,ACCOUNTS_RECEIVABLE,GST,TOTAL_CURRENT_ASSETS,TOTAL_FIXED_ASSETS,TOTAL_NON_CURRENT_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLE,TOTAL_CURRENT_LIABILITIES,TOTAL_NON_CURRENT_LIABILITIES,TOTAL_LIABILITIES,NET_ASSETS,CURRENT_YEAR_EARNINGS,RETAINED_EARNINGS,TOTAL_EQUITY
4950,FT5404,,,,8.0,6.0,169.0,0.135,,,,,1.0,,,,,,,,,,1.0,,,,6.0,2.0,,,851.0,,,,,,Lifestyle,750000.0,375000.0,375000.0,,,,,,,,,COMPANY,Wholesale Trade,215475.9,120209.06,83839.16,1434446.67,1518802.79,29466.53,1118347.45,429921.87,561987.94,542016.64,1287.88,531922.90,11381.62,1780.00,30569.37,0,36291.98,-5722.61,,,,,,0.0,0,0,0,0,38485,0,0,0,0,0,0,0.0,0,0,0,0,0,246275.0,10028.0,0.0,0.0,0.0,0.0,0.0,0.0,423303.19,391594.44,255799.94,265863.91,136416.63,212095.14,343974.27,291930.03,"391,574","423,283","-31,709","33,474","215,142","6,441","208,701",0,"154,440","54,261","256,142","38,485","565,581",248,868,97.00%,25.20%,115.10%,37,7,"217,658",4.0,5.0,"265,714","255,650","10,064","65,182","127,965","204,178","-76,213","28,621","179,166","-226,759","171,434","51,965","511,320",179,715,30.40%,144.80%,532.20%,31,4,"119,470",3.0,5.0,8818.2,Wholesale,Distributors/Wholesalers,Xero,472,2019-08-23 08:37:15,2020-11-02 11:30:31,2020-11-05 11:23:36,,2021-03-31 03:39:15,2021-03-31 03:39:15,473.0,Completed,NZL,512.72,2.0,,,0.0,39299.99,256142.26,45461.88,356378.07,191897.61,,587575.67,38484.57,343931.26,37815.21,381746.47,205829.2,69345.19,6484.01,205829.2
4824,FT5583,,,,,,836.0,,,,,,,830.0,,,,,,,,,,,,,,,,,703.0,,,,,,,,,,,,,,,,,,TRUST,,0.0,16613.52,374.22,51350.08,46239.34,0.0,62913.13,-16673.79,550409.48,472975.10,0,452077.34,20897.76,252077.34,230592.91,0,248493.62,-17900.71,,,,,,0.0,0,0,0,31353,953,754,1298,378,617,288,370,0.0,0,0,0,0,52621,58270.0,17072.0,347.0,272.0,2385.0,5185.0,172.0,0.0,100742.74,151788.43,110149.02,69975.61,108986.96,108233.58,71663.49,74697.73,"126,028","80,445","45,583","-10,682","57,607","5,111","52,496",0,"29,965","22,531","142,108","44,630","25,528",86,662,91.10%,39.10%,"1,059.10%",74,38,"97,478",1.0,0.0,"23,492","63,666","-40,173","-56,265","90,110","5,735","84,375",0,"61,604","22,771","180,700","12,386","2,997",123,692,93.60%,25.30%,"9,117.40%",62,6,"168,314",1.0,0.0,374.22,Surface Protection and Restoration,Trades/Construction,Xero,1404,,,,,2021-04-27 11:48:19,2021-04-27 11:48:19,46.0,Completed,AUS,46.15,,,,0.0,-10681.91,143521.51,56263.07,144535.59,,,133853.68,42145.8,200099.88,-94188.26,105911.62,27942.06,25912.42,2029.64,27942.06
7620,FT1769,,,,22.0,6.0,777.0,26.218,,,,4.0,2.0,620.0,6.727,,,,9.0,2.0,894.0,72.254,1.0,,,,13.0,10.0,,,976.0,31000.0,6.0,30.0,30.0,30.0,,,,,,,,,,,,,COMPANY,Information Media and Telecommunication,1552.5,35051.31,0.0,687220.48,594132.97,0.25,915564.70,-321431.48,3887374.82,3649196.72,42843.42,3234408.41,387395.13,3107808.04,2955568.99,34731.45,1986572.81,720468.71,1554474.03,1441926.90,25141.60,1361972.82,71977.84,0.0,0,0,0,22706,0,0,32504,59514,51917,43507,0,0.0,0,0,0,0,0,0.0,0.0,1045.0,70028.0,0.0,0.0,0.0,0.0,192269.07,261459.79,333380.18,349781.45,301126.51,293724.78,577901.16,408235.67,"311,540","319,254","-7,715","-226,898","256,186","19,673","236,512",0,"255,888","-19,375","271,599","236,668","789,614",45,"5,691",92.30%,7.60%,29.40%,33,27,"34,931",12.0,-21.0,"328,407","312,006","16,401","-219,183","212,241","22,877","189,364",0,"285,537","-96,173","248,118","313,030","807,389",35,"6,065",89.20%,45.30%,142.90%,35,30,"-64,912",-3.0,-21.0,14427.9,Creative Digital Agency,B2B Service Provider,Xero,538,2019-08-26 13:20:04,2019-06-25 13:19:55,2019-06-26 13:49:48,,2020-02-26 12:54:19,2020-02-26 12:54:19,819.0,Completed,NZL,838.88,,,,0.0,,,,,,,,,,,,,,,
222,FT13109,,,,6.0,6.0,850,0.02,,,,,,,,,,,,,,,1.0,,,,1.0,,,,974,,,,,,Residential,780000,380000,400000,,,,,,,,,ACCOUNTING_PRACTICE,,67401.71,3839.44,2804.44,164798.00,151334.15,27.53,131836.59,19525.09,177726.26,165394.85,4.25,162343.34,3055.76,166742.98,154150.62,3.67,156006.08,-1851.79,183479.66,171714.37,3.34,138007.15,33710.56,2598,3252,0,0,0,0,0,0,0,373,24,0,0.0,5237,3168,1017,1145,0,103,146,483.0,81.0,0,0,0,0.0,23563.64,17515.25,24224.27,27374.9,38289.63,37139.54,38885.07,45621.55,"15,575","21,623","-6,048","-8,784","9,194","1,745","7,449",1,"8,813","-1,363","9,846","6,247","26,516",30.0,307,81.00%,14.80%,61.70%,33,18,"3,599",1.0,0.0,"23,217","20,066","3,151","-2,735","11,593",246,"11,348",3,"9,836","1,515","9,998","7,542","27,879",62.0,185,97.90%,13.10%,65.20%,24,21,"2,457",2.0,0.0,517.5,Accounting Consultant,B2B Service Provider,Xero,1527,2021-07-29 08:37:33,2021-07-29 08:32:52,,,2023-03-27 11:05:16,2023-03-27 11:05:16,,Funded,NZL,46.85,,,,2691.0,-7392.04,9846.17,3870.46,41154.04,23592.08,53000.0,110354.08,6247.2,24201.07,59636.56,83837.63,26516.45,19525.09,-3008.64,26516.45
4019,FT6615,,,,,2.0,649,8.649,,,,,,,,,,,,,,,1.0,,,,10.0,7.0,,,860,,6.0,,,,Residential,340000,140000,200000,,,,,,,,,COMPANY,Construction,734656.95,127297.25,101113.81,190399.86,98899.52,0.02,51763.09,47136.45,390803.52,182240.69,6.73,128421.71,53825.71,557176.12,173174.34,6.08,166584.24,6596.18,666396.93,272511.90,1438.35,277076.42,-3126.17,0,27790,0,0,0,25305,0,0,0,0,0,0,0.0,43668,3412,897,0,300,0,0,0.0,0.0,0,0,0,0.0,4908.6,2000.0,47601.98,53800.25,48247.66,59436.5,66607.83,48058.12,0,"2,909","-2,909","36,274","30,523",819,"29,704",0,"1,817","27,887","49,059","164,213","100,056",3.0,"10,174",97.30%,91.40%,334.50%,50,"1,931","-115,154",1.0,0.0,"50,229","44,031","6,198","39,183","18,282","22,816","-4,534",0,"10,211","-14,744","13,958","164,213","72,169",3.0,"6,094",24.80%,80.60%,245.20%,24,154,"-150,255",0.0,0.0,7764.83,Plastering Contractors,Trades/Construction,Xero,142,2020-01-31 12:37:29,2021-07-21 09:49:14,,,2021-08-12 01:14:17,2021-08-12 01:14:17,0.0,Not Approved,NZL,2461.82,,,,0.0,,,,,,,,,,,,,,,
2894,FT9563,,,,2.0,28.0,646,0.11,,,,2.0,8.0,487,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMPANY,"Agriculture, Forestry and Fishing",31547.76,1179.9,1179.9,165367.88,88001.51,0,112926.53,-24925.02,538861.91,274451.63,0,331219.91,-56768.28,168917.19,168917.19,1900.00,186997.30,-16180.11,,,,,,0,18181,0,0,0,0,0,0,0,0,0,0,0.0,10639,16453,0,0,0,0,0,0.0,0.0,0,0,0,0.0,3467.51,400.0,77742.4,97283.03,92689.51,81583.51,68618.79,92473.32,0,"3,068","-3,068","-77,283","11,439",87,"11,352",0,"2,386","8,965","29,607","19,341","-103,293",6.0,"1,906",99.20%,78.40%,104.20%,80,242,"10,266",0.0,2.0,"91,941","72,400","19,541","-74,215","49,072","18,812","30,260",0,"48,813","-18,554","16,453","19,341","-111,916",19.0,"2,411",61.70%,37.80%,198.90%,10,9,"-2,888",-1.0,2.0,5439.43,Contracting,B2B Service Provider,Xero,2229,2022-04-05 13:11:25,2022-04-05 11:16:07,2022-04-05 13:00:27,,2022-07-05 02:33:07,2022-07-05 02:33:07,281.0,Completed,NZL,301.36,1.0,,,0.0,-140559.37,43017.57,-25751.42,43783.41,121508.7,,24732.74,21765.89,18478.86,31986.31,50465.17,-25732.43,-12371.26,-40411.7,-25732.43
1084,FT12065,,,,2.0,12.0,553,0.2,,,,2.0,9.0,317,1.0,,,,,,,,,,,,,,,,,,,,,,LIfestyle,1170000,600000,570000,Residential,398000.0,198000.0,200000.0,,,,,Company,,0.0,30000.0,0.0,974643.12,510178.30,93262.52,528777.55,74663.27,825371.16,391932.88,490265.19,882198.07,0,1226322.78,746430.83,262129.23,1008607.16,-47.10,1356305.94,721829.46,68577.86,773465.53,16941.79,35800,3985,0,0,0,0,0,0,0,0,0,0,0.0,78150,44862,4600,55,0,0,737,373.0,746.0,0,0,0,0.0,80023.82,89913.27,254010.04,225547.3,244033.02,274388.86,243673.71,227234.87,"55,015","44,538","10,478","-23,937","77,420","21,479","55,941","13,214","23,366","45,789","127,766","48,051","74,642",31.0,"2,392",76.30%,50.50%,736.10%,44,33,"79,715",0.0,2.0,"130,648","159,111","-28,463","-34,414","116,909","55,471","61,438","6,501","58,780","9,160","49,512","12,251","28,853",52.0,"2,148",55.10%,7.40%,381.00%,12,3,"37,261",0.0,2.0,10000.0,Training Services,B2B Service Provider,Xero,2825,2023-01-13 13:11:42,2023-01-13 13:09:14,2023-01-13 13:09:48,,2023-01-17 07:38:10,2023-01-17 07:38:10,709.0,Completed,NZL,729.07,1.0,1.0,,0.0,-23936.57,127765.84,135798.4,127770.43,358970.18,,462804.04,48050.81,-115392.89,503554.83,388161.94,74642.1,73452.51,47724.68,74642.1
5525,FT4547,,,,2.0,7.0,659.0,9.432,,,,,,,,,,,,,,,1.0,,,,3.0,,,,974.0,1500.0,6.0,,,,,,,,,,,,,,,,COMPANY,Manufacturing,89001.7,39852.99,29037.23,151920.91,150221.74,37446.8,165600.18,22070.06,233618.86,229584.46,2535.92,233740.40,-1023.43,127160.30,119200.81,0,119597.19,-395.80,26868.28,18236.11,0,18328.47,-92.15,0.0,0,0,0,0,0,0,0,20405,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,12593.0,2875.0,0.0,0.0,25230.75,38023.6,75926.24,71719.69,61479.06,58644.24,44805.02,39343.79,"53,287","44,569","8,717","-12,560","17,648",125,"17,523",0,"26,859","-9,336","28,181","16,518","-38,156",7,"2,521",99.30%,52.90%,293.60%,50,19,"11,663",0.0,0.0,"46,680","50,886","-4,207","-21,277","22,568",498,"22,070",0,"23,339","-1,269","27,204","11,730","-27,049",13,"1,736",97.80%,5.60%,56.30%,36,15,"15,474",0.0,0.0,6546.38,Architecture,B2B Service Provider,Xero,483,2021-05-11 08:44:04,2021-08-16 11:00:57,,,2020-12-07 11:24:08,2020-12-07 11:24:08,356.0,Completed,NZL,395.57,2.0,,,0.0,-5199.83,28180.75,11075.15,28181.61,3542.24,,26524.02,16518.0,38417.32,-34102.02,4315.3,22208.72,23167.84,-959.12,22208.72
7314,FT2130,,,,4.0,8.0,606.0,5.959,,,,4.0,2.0,620.0,6.727,,,,9.0,2.0,894.0,72.254,1.0,,,,1.0,,,,832.0,,6.0,,,,,,,,,,,,,,,,COMPANY,Retail Trade,0.0,1009.56,0.0,58120.16,33886.51,0.0,28284.20,5602.31,19722.78,19120.21,0,7616.34,11503.87,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4612.0,7091.0,0.0,108.0,0.0,0.0,0.0,0.0,12664.18,12330.39,14138.03,9531.47,10858.91,16226.84,5356.76,5389.02,"12,279","12,548",-269,"1,248","7,649",44,"7,605",0,"3,211","4,394","10,863",0,"6,126",13,435,99.40%,57.40%,860.70%,43,0,"10,863",8.0,0.0,"9,531","14,138","-4,607","1,517","19,262","5,092","14,170",0,"5,528","8,641","12,727",0,"7,744",13,"1,482",73.60%,44.90%,"1,339.00%",20,0,"12,727",17.0,0.0,144.9,Timber Sales,Trades/Construction,Xero,530,2019-08-23 10:27:29,2019-08-23 10:28:47,,,2020-02-25 16:29:10,2020-02-25 16:29:10,0.0,Not Approved,NZL,124.16,,,,0.0,,,,,,,,,,,,,,,
7435,FT1989,,,,5.0,9.0,568.0,6.386,,,,2.0,4.0,550.0,4.477,,,,9.0,2.0,894.0,72.254,2.0,,,,15.0,12.0,,,980.0,,6.0,,,,,,,,,,,,,,,,COMPANY,Wholesale Trade,263069.69,49680.58,0.0,1410393.95,263900.49,12642.47,173764.88,102778.08,4019241.43,377184.47,66409.61,399489.14,44104.94,3934593.28,340623.56,52930.04,334301.08,30011.18,1637281.09,236107.47,0,194558.15,19617.19,0.0,0,0,0,42715,0,49603,48139,21317,29993,21325,21279,0.0,0,0,0,0,21442,0.0,235638.0,110057.0,36245.0,11398.0,1588.0,1163.0,0.0,301950.37,313510.6,376125.11,373828.24,430820.89,444313.51,419037.7,377547.47,"391,080","363,545","27,535","72,927","261,383","246,290","15,093","3,495","64,866","-46,277","364,500","248,209","275,295",484,508,7.00%,17.50%,201.70%,43,25,"116,291",2.0,1.0,"371,228","373,525","-2,297","45,392","243,077","237,081","5,997","3,120","63,851","-54,735","365,379","191,659","321,572",474,517,3.70%,22.20%,204.30%,46,20,"173,720",4.0,1.0,2057.07,Importer & Wholesaler,Distributors/Wholesalers,Xero,181,2020-01-31 12:40:45,2020-01-31 12:41:17,2020-02-17 16:08:40,,2020-02-25 17:17:24,2020-02-25 17:17:24,100.0,Completed,NZL,119.6,,,,32931.34,,,,,,,,,,,,,,,
